Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/HP-15-6-inch-Backpack-Pass-Through-793A7AA/dp/B0BYDWD4VL,HP 330 15.6-inch Laptop Backpack/Trolley Pass-Through; Padded Back Panel; Padded air mesh Panel/Hand wash and air Dry/1 Year Limited Warranty (793A7AA),"₹1,141",4.6,3,N/A,N/A,N/A
https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D24G29,"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",₹399,4.0,191,N/A,N/A,N/A
https://www.amazon.in/Storite-Army-Print-Sling-GreenGrey/dp/B09KNMWWPH,"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)",₹395,4.1,488,N/A,N/A,N/A
https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,₹749,4.0,6454,N/A,N/A,N/A
https://www.amazon.in/Hilfiger-Laptop-Backpack-TH-FERNLAYLAP07/dp/B07P3F44K6,Tommy Hilfiger 27 Ltrs,"₹1,924",3.9,31,N/A,N/A,N/A
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),₹649,3.8,1908,N/A,N/A,N/A
https://www.amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6,"Safari Seek 32 Ltrs Large Overnighter Travel Laptop Backpack, Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure- Black","₹1,959",4.4,271,N/A,N/A,N/A
https://www.amazon.in/Gear-Black-Laptop-Backpack-BUSCLIMBR0109/dp/B015C73FCA,Gear Climber 35L Water Resistant Office Laptop Bag/Backpack for Men/Women(Black),"₹1,099",4.0,358,N/A,N/A,N/A
https://www.amazon.in/F-Gear-Blow-Laptop-Backpack-Red/dp/B0749MPCFT,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Red,Grey) Sch Bag",₹959,4.3,292,N/A,N/A,N/A
https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,₹349,3.9,2700,N/A,N/A,N/A
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",₹399,4.2,115,N/A,N/A,N/A
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=8HREo&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=CTMV8T5GC33MP71QJGBH&pd_rd_wg=tD5MJ&pd_rd_r=ae574f03-bc60-424d-bf56-8596549dd027&qid=1692705041,N/A,N/A,N/A,bags for girls,N/A,N/A,N/A
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A,or,N/A,N/A,N/A
https://www.amazon.in/BEAUTY-GIRLS-HOTSHOT1566-Backpack-Waterproof/dp/B0BG36CZD9,BEAUTY GIRLS BY HOTSHOT1566|School Bag|Tuition Bag|College Backpack|ForGirls&Women|17Inch|32L Waterproof School Bag,₹740,4.1,195,N/A,N/A,N/A
https://www.amazon.in/Professional-Photographers-Water-Resistant-Heavy-Duty-Accessories/dp/B0C58SJ2D8,"Amazon Basics Camera Bag for Beginners and Professional Photographers, Flipside Design, Water-Resistant, Heavy-Duty, Removable Dividers for All DSLR/SLR Cameras and Accessories",₹899,4.4,1317,N/A,N/A,N/A
https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,₹239,3.6,7977,N/A,N/A,N/A
https://www.amazon.in/ZOUK-Womens-Contemporary-Wave-Beach/dp/B07LB67L57,ZOUK Women's Contemporary (Wave Beach),"₹1,998",4.5,397,N/A,N/A,N/A
https://www.amazon.in/Wildcraft-Polyester-Black-Laptop-8903338054290/dp/B012D4QKHW,Wildcraft 44 cms Polyester Black Laptop Bag (8903338054290),"₹1,635",4.3,686,Buy Wildcraft 44 cms Polyester Black Laptop Bag (8903338054290) from Laptop Backpacks at Amazon.in. 30 days free exchange or return,N/A,Shopiesta
https://www.amazon.in/Skybags-Unisex-Adjustable-Polyester-Backpacks/dp/B0BJ75WR71,Skybags Chase 32L Unisex Adjustable Strap Polyester Red Backpacks,"₹1,154",4.2,100,N/A,N/A,N/A
https://www.amazon.in/COSMUS-Polyester-Multi-functional-Convertible-15-6-Inch/dp/B07D1R1K84,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"₹2,255",4.2,980,N/A,N/A,N/A
https://www.amazon.in/Gear-Green-Casual-Backpack-BKPECOBP40503/dp/B019HA8DQQ,Gear Eco4 18L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,₹439,4.0,4281,N/A,N/A,N/A
